年月	股票代號	股票名稱	單月合併營收(千)	去年單月合併營收(千)	單月合併營收年成長(%)	單月合併營收月變動(%)	累計合併營收(千)	去年累計合併營收(千)	累計合併營收成長(%)	近三月合併營收(千)	近三月合併營收年成長(%)	近三月合併營收月變動(%)	近12月累計合併營收(千)	近12月營收合併成長(%)	預估年營收(千)	累計營收達成率(%)	單月營收(千)	去年單月營收(千)	單月營收年成長(%)	單月營收月變動(%)	累計營收(千)	去年累計營收(千)	累計營收成長(%)	近三月營收(千)	近三月營收年成長(%)	近三月營收月變動(%)	近12月累計營收(千)	近12月營收成長(%)	淨值(千)	資金貸放餘額(千)	資金貸放佔淨值比(%)	背書保證單月金額(千)	背書保證累計餘額(千)	背書保証累計餘額佔淨值比(%)	重要子公司本月營業收入淨額(千)	重要子公司本年累計營收淨額(千)	公告日	RTIME
200001	1201	味全															844346	729061	15.81	16.14	844346	729061	15.81	2432709	3.34	-15.89	10459981	6.01	4020854			-1103968	639487	15.9			20000210	
200002	1201	味全															671553	701907	-4.32	-20.46	1515899	1430968	5.94	2242881	0.73	-18.35	10429627	4.92	4020854			-20000	619812	15.41			20000310	
200003	1201	味全															748424	851261	-12.08	11.45	2264323	2282229	-0.78	2264323	-0.78	-10.14	10326790	3	4507134			-1558	618254	13.72			20000410	
200004	1201	味全													10747428	27.98	743343	875558	-15.1	-0.68	3007666	3157787	-4.75	2163320	-10.93	-11.07	10194575	1.03	4507134			93855	712109	15.8			20000510	
200005	1201	味全													10747428	35.77	836696	872574	-4.11	12.56	3844362	4030361	-4.61	2328463	-10.42	3.82	10158697	0.47	4507134			1073	713182	15.82			20000610	
200006	1201	味全													10747428	43.77	859550	891950	-3.63	2.73	4703912	4922311	-4.44	2439589	-7.59	7.74	10126297	-0.31	4027967			40063	753245	18.7			20000710	
200007	1201	味全													10747428	51.7	852812	941868	-9.46	-0.78	5556724	5864179	-5.24	2549058	-5.81	17.83	10037241	-1.83	4027967			1932	755177	18.75			20000810	
200008	1201	味全													10747428	60.07	899404	1006565	-10.65	5.46	6456128	6870744	-6.03	2611766	-8.05	12.17	9930080	-3.6	4027967			22	755199	18.75			20000910	
200009	1201	味全													10747428	68.53	909048	954029	-4.71	1.07	7365176	7824773	-5.87	2661264	-8.31	9.09	9885099	-4.35	4037987			1766	760072	18.82			20001010	
200010	1201	味全													10747428	76.78	886180	931560	-4.87	-2.52	8251356	8756333	-5.77	2694632	-6.83	5.71	9839719	-5.22	4037987			120474	880546	21.81			20001110	
200011	1201	味全													9859257	91.37	757210	861381	-12.09	-14.55	9008566	9617714	-6.33	2552438	-7.08	-2.27	9735548	-6.51	4037987			-59293	821253	20.34			20001210	
200012	1201	味全					16525469	16157678	2.28					2.28	9859257	98.68	720177	726982	-0.94	-4.89	9728743	10344696	-5.95	2363567	-6.2	-11.19	9728743	-5.95	4009482			-23572	797681	19.89			20010110	
