日期	股票代號	股票名稱	開盤價	最高價	最低價	收盤價	漲跌	漲幅(%)	振幅(%)	成交量	成交筆數	成交金額(千)	均張	成交量變動(%)	均張變動(%)	股本(百萬)	總市值(億)	市值比重(%)	本益比	股價淨值比	本益比(近四季)	週轉率(%)	成交值比重(%)	漲跌停	均價	成交量(股)	RTIME
20000104	1201	味全	8.2	8.3	8	8.15	0	0	3.68	2136	419	17373	5.1	-6.77	4.08	5061	41.2	0.032		0.92		0.42	0.008	0	8.13	2136000	123456
20000105	1201	味全	8.1	8.7	8.1	8.7	0.55	6.75	7.36	4793	932	40907	5.1	124.39	0	5061	44	0.033		0.98		0.93	0.016	1	8.53	4793379	123456
20000106	1201	味全	9.3	9.3	9.05	9.3	0.6	6.9	2.87	4030	810	37386	5	-15.92	-1.96	5061	47.1	0.036		1.04		0.79	0.014	1	9.28	4030261	123456
20000107	1201	味全	9.95	9.95	9.75	9.95	0.65	6.99	2.15	8150	1410	80961	5.8	102.23	16	5061	50.4	0.038		1.12		1.61	0.036	1	9.93	8150591	123456
20000110	1201	味全	10.6	10.6	10.3	10.6	0.65	6.53	3.02	8702	1669	91524	5.2	6.77	-10.34	5061	53.6	0.04		1.19		1.71	0.038	1	10.52	8702809	123456
20000111	1201	味全	11.3	11.3	11	11.3	0.7	6.6	2.83	4978	1001	56220	5	-42.79	-3.85	5061	57.2	0.043		1.27		0.98	0.017	1	11.29	4978405	123456
20000112	1201	味全	12	12	10.95	11.3	0	0	9.29	12601	2284	145097	5.5	153.13	10	5061	57.2	0.042		1.27		2.54	0.061	0	11.51	12601592	123456
20000113	1201	味全	11.3	11.4	10.8	11	-0.3	-2.65	5.31	5485	1235	60591	4.4	-56.47	-20	5061	55.7	0.041		1.24		1.09	0.023	0	11.05	5485267	123456
20000114	1201	味全	11.1	11.2	10.5	10.7	-0.3	-2.73	6.36	3909	761	42213	5.1	-28.73	15.91	5061	54.2	0.04		1.2		0.78	0.021	0	10.8	3909723	123456
20000115	1201	味全	10.9	10.9	10.6	10.7	0	0	2.8	2471	565	26567	4.4	-36.79	-13.73	5061	54.2	0.04		1.2		0.49	0.014	0	10.75	2471645	123456
20000117	1201	味全	10.95	11.4	10.95	11.4	0.7	6.54	4.21	4300	752	48396	5.7	74.02	29.55	5061	57.7	0.042		1.28		0.84	0.024	1	11.25	4300000	123456
20000118	1201	味全	12.1	12.15	12.1	12.15	0.75	6.58	0.44	5003	869	60713	5.8	16.35	1.75	5061	61.5	0.045		1.36		0.99	0.035	1	12.13	5003361	123456
20000119	1201	味全	13	13	12.7	13	0.85	7	2.47	8652	1682	112172	5.1	72.94	-12.07	5061	65.8	0.048		1.46		1.7	0.069	1	12.96	8652271	123456
20000120	1201	味全	13.6	13.6	12.1	12.55	-0.45	-3.46	11.54	11352	2198	146116	5.2	31.21	1.96	5061	63.5	0.047		1.41		2.3	0.106	0	12.87	11352286	123456
20000121	1201	味全	12.5	13	12.3	12.9	0.35	2.79	5.58	5775	1093	72778	5.3	-49.13	1.92	5061	65.3	0.047		1.45		1.11	0.039	0	12.6	5775511	123456
20000124	1201	味全	12.9	13.15	12.9	13	0.1	0.78	1.94	6586	1160	85577	5.7	14.04	7.55	5061	65.8	0.047		1.46		1.3	0.044	0	12.99	6586512	123456
20000125	1201	味全	13	13.9	13	13.9	0.9	6.92	6.92	11085	1998	151125	5.5	68.31	-3.51	5061	70.3	0.05		1.56		2.15	0.092	1	13.63	11085950	123456
20000126	1201	味全	13.9	14.8	13.9	14.25	0.35	2.52	6.47	10183	1915	146303	5.3	-8.14	-3.64	5061	72.1	0.05		1.6		2.03	0.066	0	14.37	10183322	123456
20000127	1201	味全	14.1	14.5	14.1	14.25	0	0	2.81	7353	1581	105008	4.7	-27.79	-11.32	5061	72.1	0.05		1.6		1.46	0.051	0	14.28	7353395	123456
20000128	1201	味全	14.3	14.3	13.6	13.8	-0.45	-3.16	4.91	5945	1306	82670	4.6	-19.15	-2.13	5061	69.8	0.048		1.55		1.18	0.04	0	13.91	5945001	123456
20000129	1201	味全	13.8	13.8	13.15	13.15	-0.65	-4.71	4.71	4096	929	54935	4.4	-31.1	-4.35	5061	66.6	0.046		1.48		0.82	0.038	0	13.41	4096511	123456
20000131	1201	味全	13.25	14.05	13.25	14.05	0.9	6.84	6.08	4094	708	56951	5.8	-0.05	31.82	5061	71.1	0.049		1.58		0.8	0.037	1	13.91	4094000	123456
20000201	1201	味全	14.85	15	14.3	14.75	0.7	4.98	4.98	9585	2071	140518	4.6	134.12	-20.69	5061	74.6	0.051		1.66		1.88	0.07	0	14.66	9585501	123456
20000209	1201	味全	15.1	15.5	14.5	15.1	0.35	2.37	6.78	8085	1634	120384	4.9	-15.65	6.52	5061	76.4	0.051		1.7		1.58	0.052	0	14.89	8085000	123456
20000210	1201	味全	15.2	15.3	14.8	14.85	-0.25	-1.66	3.31	6288	1366	94372	4.6	-22.23	-6.12	5061	75.2	0.05		1.67		1.25	0.044	0	15.01	6288400	123456
20000211	1201	味全	15	15.5	14.85	15.1	0.25	1.68	4.38	7433	1682	112729	4.4	18.21	-4.35	5061	76.4	0.05		1.7		1.48	0.045	0	15.17	7433042	123456
20000214	1201	味全	15.1	15.2	14.5	14.5	-0.6	-3.97	4.64	4940	1156	73661	4.3	-33.54	-2.27	5061	73.4	0.049		1.63		1	0.036	0	14.91	4940292	123456
20000215	1201	味全	14.5	14.7	13.6	13.9	-0.6	-4.14	7.59	4462	1002	62760	4.5	-9.68	4.65	5061	70.3	0.047		1.56		0.89	0.039	0	14.06	4462166	123456
20000216	1201	味全	13.9	14.85	13.9	14.85	0.95	6.83	6.83	6249	1121	91833	5.6	40.05	24.44	5061	75.2	0.05		1.67		1.22	0.05	1	14.7	6249066	123456
20000217	1201	味全	15	15.3	14.85	15	0.15	1.01	3.03	8148	1691	122667	4.8	30.39	-14.29	5061	75.9	0.049		1.68		1.62	0.051	0	15.05	8148610	123456
20000218	1201	味全	15.3	16	14.9	16	1	6.67	7.33	23197	2844	362494	8.2	184.7	70.83	5061	81	0.053		1.8		4.48	0.14	1	15.63	23197787	123456
20000219	1201	味全	16.2	17.1	16.2	17.1	1.1	6.88	5.63	17932	2914	300818	6.2	-22.7	-24.39	5061	86.5	0.057		1.92		3.48	0.141	1	16.78	17932390	123456
20000221	1201	味全	18.2	18.2	17.8	18.2	1.1	6.43	2.34	13238	2251	239813	5.9	-26.18	-4.84	5061	92.1	0.062		2.04		2.6	0.097	1	18.12	13238000	123456
20000222	1201	味全	18.5	19	17	17	-1.2	-6.59	10.99	19766	3727	349214	5.3	49.31	-10.17	5061	86	0.059		1.91		4.06	0.177	-1	17.67	19766856	123456
20000223	1201	味全	16.1	16.6	15.9	15.9	-1.1	-6.47	4.12	8760	1602	141883	5.5	-55.68	3.77	5061	80.5	0.055		1.79		1.76	0.088	-1	16.2	8760553	123456
20000224	1201	味全	15.4	16.3	15	15	-0.9	-5.66	8.18	8662	1649	134252	5.3	-1.12	-3.64	5061	75.9	0.052		1.68		1.77	0.083	0	15.5	8662365	123456
