日期	流水編號	代號	名稱	發布日期時間	新聞標題	新聞內容	RTIME
20040707	WEB0682	1201	味全	2004/07/07  20:33:35	50億元市場商機太誘人! 統一味全競推保健飲品上市	"養生保健觀念大行其道，包括統一(1216)及味全
(1201)均搶攻台灣年消費額高達50億元的保健飲品市場
大餅，在罐裝雞精飲品之後，漢方保健飲品又成市場競
爭的焦點，統一企業今(7)日宣布推出3款漢方保健飲品。

    同時，包括味全、統一龐大的生技研發中心資源，
也成為其產品有力的號召。

    自從去年SARS肆虐之後，消費者的保健意識大幅提
昇，保健市場成長快速，其中保健飲品市場的成長率更
是一枝獨秀。主要是因為漢方素材管制放寬，中醫基礎
研究不斷增加，除了過去原有的病後、產後及冬令進補
等食補觀念外，一般人對於日常使用天然漢方食材來養
生的接受度越來越高。

    而統一在今天則推出包括一抹小桃紅、一盅精氣神
等3款保健飲品。

    味全在上月初由總經理蘇守斌正式宣布推出巴西蘑
菇及蔘仲四物飲兩支漢方飲品，並以此為味全生技頭號
先鋒，迅速建立味全生技保健飲品知名度，作為品牌重
新出發的第一步。

    在統一、味全競相推出保健飲品同時，其間的共同
點在於女性體質調理的效能，強調緩和女性經期不適的
機能。

"	
20040708	WEB0505	1201	味全	2004/07/08  15:00:20	味全公司 6月營收8.50億元年減3.75%  1-6月達44.16億元	"味全公司(1201)6月營收(單位:千元)

項目            6月營收      1-6月營收
本年度          849,676      4,415,507
去年同期        882,794      4,865,765
增減金額        -33,118       -450,258
增減(％)          -3.75          -9.25
"	
20040810	WEB1443	1201	味全	2004/08/10  18:00:26	味全公司 7月營收10.05億元年減5.67%  1-7月達54.20億元	"味全公司(1201)7月營收(單位:千元)

項目            7月營收      1-7月營收
本年度        1,004,715      5,420,222
去年同期      1,065,127      5,930,892
增減金額        -60,412       -510,670
增減(％)          -5.67          -8.61
"	
20040826	WEB0280	1201	味全	2004/08/26  12:56:25	災後食品股人氣旺 提前引爆中元行情 味全愛之味漲停	"艾利颱風狂掃台灣，民眾大量搶購民生必需品，泡
麵、罐頭等食品也隨之銷售一空，也因此帶動食品股走
揚，提前引爆中元節買氣。今(26)日味全(1201)盤中強
鎖漲停，站上月線﹔而愛之味(1217)早盤率先跳空漲停
鎖住，來到7.05元，一舉收復 5日線及月線。味王(1203)、
泰山(1218)也有不錯的表現，漲幅分別高達4.9%、4.3%。

    在罐頭、麵食等食品因颱風來襲而搶購一空，為食
品廠商挹注不少營收，加上中元節買氣將至，食品股利
多題材不斷，激勵食品類股盤中漲幅達 3.38%，其中又
以味全、愛之味走勢最為強勁，雙雙深鎖漲停大門。味
王則站上季線，盤中最高來到10.7元。泰山盤中最高
來到7.15元，站上月線，為反彈後最高價。

"	
20040901	WEB0561	1201	味全	2004/09/01  18:12:29	味全公司93年上半年度財務報告會計師之查核意見	"味全公司(1201)：公告本公司九十三年上半年度財務報
告會計師之查核意見

1.事實發生日:93/08/31

2.會計師查核意見全文:

味全食品工業股份有限公司民國九十三年及九十二年六
月三十日之資產負債表，暨民國九十三年及九十二年一
月一日至六月三十日之損益表、股東權益變動表及現金
流量表，業經本會計師查核竣事。上開財務報表之編製
係管理階層之責任，本會計師之責任則為根據查核結果
對上開財務報表表示意見。

除下段所述者外，本會計師係依照「會計師查核簽證財
務報表規則」及中華民國一般公認審計準則規劃並執行
查核工作，以合理確信財務報表有無重大不實表達。此
項查核工作包括以抽查方式獲取財務報表所列金額及所
揭露事項之查核證據、評估管理階層編製財務報表所採
用之會計原則及所作之重大會計估計，暨評估財務報表
整體之表達。本會計師相信此項查核工作可對所表示之
意見提供合理之依據。

如財務報表附註四(六)所述，  貴公司民國九十三年及
九十二年上半年度採權益法評價之部分長期股權投資及
附註十一所揭露有關被投資公司民國九十三年上半年度
之資訊，係依被投資公司同期自編未經會計師查核簽證
之財務報表評價及揭露，並認列投資損失及利益分別計
新台幣53,314仟元及新台幣3,071仟元，截至民國九十三
年及九十二年六月三十日止，其相關之長期股權投資餘
額(含帳列其他負債－其他之長期股權投資承諾負債)分
別為新台幣1,373,862仟元及新台幣1,301,748仟元。

依本會計師之意見，除上段所述按權益法評價之長期股
權投資及附註十一所揭露之相關資訊，若能取得各被投
資公司同期經會計師查核之財務報表而可能需做適當調
整外，第一段所述財務報表在所有重大方面係依照「證
券發行人財務報告編製準則」暨中華民國一般公認會計
原則編製，足以允當表達味全食品工業股份有限公司民
國九十三年及九十二年六月三十日之財務狀況，暨民國
九十三年及九十二年一月一日至六月三十日之經營成果
與現金流量。

如財務報表附註七(三)所述，味全食品工業股份有限公
司民國八十七年度與新燕實業股份有限公司(新燕公司)
簽訂台北廠土地買賣契約，因新燕公司於民國八十八年
十月以味全食品工業股份有限公司未履行契約所訂條款
為由，向法院提出訴訟，訴請解除契約並求償新台幣10
0,000仟元之違約金及損害賠償，台灣高等法院民事庭於
民國九十一年五月八日判決味全食品工業股份有限公司
勝訴。新燕公司不服二審判決，於民國九十一年五月二
十四日向最高法院民事法庭提起上訴，最高法院民事庭
於民國九十三年一月八日判決二審判決部分除假執行部
分外廢棄，發回台灣高等法院更審，惟截至查核報告日
止，因訴訟結果尚未確定，故無從判斷可能之影響。會
計師事務所名稱:資誠會計師事務所簽證會計師名稱:陳
永清、陳順發

3.其他應敘明事項:無。

"	
20040907	WEB0683	1201	味全	2004/09/07  22:45:54	萊爾富攜手味全、黑松等6大廠商聯合推出促銷活動	"為抓牢中秋檔期龐大商機與延續強滾滾的買氣，萊
爾富便利商店(299940)折扣再下猛藥，特將促銷廣度拉
大，舉辦史無前例、跨廠牌、跨品類的味全(1201)、黑
松(1234)、泰山(1218)、愛之味(1217)、久暢、源興等
六大廠商聯合促銷活動案，品類範圍擴及乳品飲料、果
汁汽水、茶品咖啡、粥品點心、以及醬菜油品類等共111
項商品，以重新定位成「小量販」的概念出發，將可有
效搶進超市與量販店商機，預計此波聯合促銷活動將可
帶來約1000萬元的營業額。                     
                                                 
    萊爾富表示，夏天是便利商店的經營旺季，過去， 
業界主要針對單品牌旗下系列展開促銷活動，由萊爾富 
便利商店率先展開第二件6折的活動，而今年這股第2件 
折扣風潮，更從飲料再延伸到月餅市場，一舉拉抬市場 
業績。                                           
                                                 
    萊爾富分析，「第二件6折」開跑販售以來，透過  
價差上的魅力，平均有七成的消費者當下決定多買一件 
，使得客單價約提高 2元。對通路來說，為擴大整體市  
場，善用「小量販」的促銷概念活動，企圖改變消費行 
為的方式，也可順利增加客單價，此外，透過增加購買 
第二件商品折扣的操作模式，不但能帶動銷售量成長， 
加速商品回轉，對於品牌形象的提升也有正面的效益。

"	
20040907	WEB0290	1201	味全	2004/09/07  13:42:47	跨品牌小量販點燃中秋行情  味全尾盤急拉收復季線	"由飲料、食品廠商與便利商店聯手強力促銷中秋商
品，提前引爆中秋行情﹔味全(1201)身為食品股龍頭，今
(7)日尾盤獲大單敲進，股價急拉逾半根停板，極力挑戰
12元反壓。

    中元節過後，為延續滾滾而來的買氣，由萊爾富便利
商店號召「味全」、「黑松」、「泰山」、「久暢」、「
源興」、「愛之味」飲料、食品等 6家廠商攜手點燃中秋
行情，舉辦跨廠牌、跨品類的聯合促銷活動來爭搶超市及
量販店商機。

    隨著中秋行情即將引爆，食品股又將有一波行情可期﹔
味全今日尾盤便獲大單急拉逾4%，最高來到11.85元，終
場以11.8元作收，順利重回季線，成交量4337張。

"	
20040910	WEB1278	1201	味全	2004/09/10  18:00:27	味全公司 8月營收10.75億元年增4.00%  1-8月達64.95億元	"味全公司(1201)8月營收(單位:千元)

項目            8月營收      1-8月營收
本年度        1,074,788      6,495,011
去年同期      1,025,858      6,956,750
增減金額         48,930       -461,739
增減(％)           4.77          -6.64
"	
20041008	WEB0755	1201	味全	2004/10/08  15:00:54	味全公司 9月營收9.27億元年減2.37%  1-9月達74.22億元	"味全公司(1201)9月營收(單位:千元)

項目            9月營收      1-9月營收
本年度          926,618      7,421,628
去年同期        949,110      7,905,860
增減金額        -22,492       -484,232
增減(％)          -2.37          -6.12
"	
20041109	WEB0865	1201	味全	2004/11/09  17:02:23	味全公司10月營收7.87億元年減5.26%  1-10月達82.09億元	"味全公司(1201)10月營收(單位:千元)

項目            10月營收      1-10月營收
本年度          787,312      8,208,940
去年同期        831,018      8,736,878
增減金額        -43,706       -527,938
增減(％)          -5.26          -6.04
"	
