年月	股票代號	股票名稱	單月合併營收(千)	去年單月合併營收(千)	單月合併營收年成長(%)	單月合併營收月變動(%)	累計合併營收(千)	去年累計合併營收(千)	累計合併營收成長(%)	近三月合併營收(千)	近三月合併營收年成長(%)	近三月合併營收月變動(%)	近12月累計合併營收(千)	近12月營收合併成長(%)	預估年營收(千)	累計營收達成率(%)	單月營收(千)	去年單月營收(千)	單月營收年成長(%)	單月營收月變動(%)	累計營收(千)	去年累計營收(千)	累計營收成長(%)	近三月營收(千)	近三月營收年成長(%)	近三月營收月變動(%)	近12月累計營收(千)	近12月營收成長(%)	淨值(千)	資金貸放餘額(千)	資金貸放佔淨值比(%)	背書保證單月金額(千)	背書保證累計餘額(千)	背書保証累計餘額佔淨值比(%)	重要子公司本月營業收入淨額(千)	重要子公司本年累計營收淨額(千)	公告日	RTIME
200001	1217	愛之味															280805	202420	38.72	44.57	280805	202420	38.72	644635	-27.91	-19.99	2696996	-23.5	3992885			-110032	970172	24.3			20000210	
200002	1217	愛之味															163790	210313	-22.12	-41.67	444595	412733	7.72	638831	-30.17	-2.26	2650473	-24.94	3992885			0	969941	24.29			20000310	
200003	1217	愛之味															212134	239874	-11.56	29.52	656729	652607	0.63	656729	0.63	25.35	2622733	-25.6	4112407			-46104	923837	22.46			20000410	
200004	1217	愛之味															166234	159201	4.42	-21.64	822963	811808	1.37	542158	-11.03	-15.9	2629766	-23.75	4112407			0	923837	22.46			20000510	
200005	1217	愛之味															231950	136733	69.64	39.53	1054913	948541	11.21	610318	13.91	-4.46	2724983	-16.9	4112407			46395	970232	23.59			20000610	
200006	1217	愛之味															263778	321529	-17.96	13.72	1318691	1270070	3.83	661962	7.21	0.8	2667232	-19.83	3882461			46290	1016522	26.18			20000710	
200007	1217	愛之味															261345	179006	46	-0.92	1580036	1449076	9.04	757073	18.8	39.64	2749571	-14.76	3882461			93810	1110332	28.6			20000810	
200008	1217	愛之味															329262	321672	2.36	25.99	1909298	1770748	7.82	854385	3.91	39.99	2757161	-11.39	3882461			0	1110332	28.6			20000910	
200009	1217	愛之味															256720	323949	-20.75	-22.03	2166018	2094697	3.4	847327	2.75	28	2689932	-10.37	3797114			0	1110332	29.24			20001010	
200010	1217	愛之味															133984	160084	-16.3	-47.81	2300002	2254781	2.01	719966	-10.64	-4.9	2663832	-9.6	3797114			-46905	1063752	28.01			20001110	
200011	1217	愛之味															158962	169594	-6.27	18.64	2458964	2424375	1.43	549666	-15.91	-35.67	2653200	-9.34	3797114			46905	1110657	29.25			20001210	
200012	1217	愛之味															250590	194236	29.01	57.64	2709554	2618611	3.47	543536	3.75	-35.85	2709554	3.47	3523241			-772857	337800	9.59			20010110	
200101	1217	愛之味															216395	280805	-22.94	-13.65	216395	280805	-22.94	625947	-2.9	-13.06	2645144	-1.92	3523241			0	337800	9.59			20010210	
200102	1217	愛之味															147296	163790	-10.07	-31.93	363691	444595	-18.2	614281	-3.84	11.76	2628650	-0.82	3523241			-15590	322210	9.15			20010310	
200103	1217	愛之味															276628	212134	30.4	87.8	640319	656729	-2.5	640319	-2.5	17.81	2693144	2.68	3543039			15590	322210	9.09			20010410	
200104	1217	愛之味															107867	166234	-35.11	-61.01	748186	822963	-9.09	531791	-1.91	-15.04	2634777	0.19	3543039			0	322210	9.09			20010510	
200105	1217	愛之味															162881	231950	-29.78	51	911067	1054913	-13.64	547376	-10.31	-10.89	2565708	-5.84	3543039			16700	354500	10.01			20010610	
200106	1217	愛之味															301221	263778	14.19	84.93	1212288	1318691	-8.07	571969	-13.59	-10.67	2603151	-2.4	3458569			0	354500	10.25			20010710	
200107	1217	愛之味													3260127	45.26	263190	261345	0.71	-12.63	1475478	1580036	-6.62	727292	-3.93	36.76	2604996	-5.26	3458569			0	354500	10.25			20010810	
200108	1217	愛之味													3260127	60.81	506991	329262	53.98	92.63	1982469	1909298	3.83	1071402	25.4	95.73	2782725	0.93	3458569			0	354500	10.25			20010910	
