日期	股票代號	股票名稱	開盤價	最高價	最低價	收盤價	漲跌	漲幅(%)	振幅(%)	成交量	成交筆數	成交金額(千)	均張	成交量變動(%)	均張變動(%)	股本(百萬)	總市值(億)	市值比重(%)	本益比	股價淨值比	本益比(近四季)	週轉率(%)	成交值比重(%)	漲跌停	均價	成交量(股)	RTIME
20000104	1217	愛之味	10.1	10.15	10.05	10.1	0.05	0.5	1	748	101	7535	7.4	-41.43	-22.11	3466	35	0.027	21	0.85	10.1	0.22	0.003	0	10.07	748000	123456
20000105	1217	愛之味	10.1	10.25	10.05	10.2	0.1	0.99	1.98	843	122	8578	6.9	12.7	-6.76	3466	35.4	0.027	21.3	0.86	10.2	0.24	0.003	0	10.17	843381	123456
20000106	1217	愛之味	10.2	10.6	10.2	10.5	0.3	2.94	3.92	1700	380	17647	4.5	101.66	-34.78	3466	36.4	0.027	21.9	0.89	10.5	0.48	0.007	0	10.38	1700457	123456
20000107	1217	愛之味	10.55	10.7	10.45	10.55	0.05	0.48	2.38	1788	359	18950	5	5.18	11.11	3466	36.6	0.028	22	0.89	10.6	0.52	0.009	0	10.59	1788998	123456
20000110	1217	愛之味	10.8	11.25	10.8	11.25	0.7	6.64	4.27	3038	567	33492	5.4	69.91	8	3466	39	0.029	23.4	0.95	11.3	0.86	0.014	1	11.02	3038284	123456
20000111	1217	愛之味	11.9	11.9	10.85	11.1	-0.15	-1.33	9.33	2715	680	31088	4	-10.63	-25.93	3466	38.5	0.029	23.1	0.94	11.1	0.81	0.01	0	11.45	2715253	123456
20000112	1217	愛之味	11.1	11.2	10.75	10.85	-0.25	-2.25	4.05	1064	295	11590	3.6	-60.81	-10	3466	37.6	0.028	22.6	0.91	10.9	0.31	0.005	0	10.88	1064904	123456
20000113	1217	愛之味	10.85	11	10.7	11	0.15	1.38	2.76	1706	341	18485	5	60.34	38.89	3466	38.1	0.028	22.9	0.93	11	0.49	0.007	0	10.83	1706967	123456
20000114	1217	愛之味	11.05	11.05	10.7	10.85	-0.15	-1.36	3.18	880	286	9578	3.1	-48.42	-38	3466	37.6	0.028	22.6	0.91	10.9	0.25	0.005	0	10.88	880573	123456
20000115	1217	愛之味	10.9	10.95	10.7	10.8	-0.05	-0.46	2.3	706	168	7662	4.2	-19.77	35.48	3466	37.4	0.027	22.5	0.91	10.8	0.2	0.004	0	10.85	706041	123456
