日期	股票代號	股票名稱	外資買賣超	投信買賣超	自營商買賣超	買賣超合計	外資持股(張)	外資持股比率(%)	投信持股(張)	投信持股比率(%)	自營商持股(張)	自營商持股比率(%)	法人持股合計	法人持股比率(%)	外資持股市值(百萬)	投信持股市值(百萬)	自營商持股市值(百萬)	法人持股市值(百萬)	外資買賣超金額(千)	投信買賣超金額(千)	自營商買賣超金額(千)	法人買賣超金額(千)	RTIME
20001002	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001003	1217	愛之味	0		-100		4	0			0	0			0.03		0		0		-703		
20001004	1217	愛之味	0		-38		4	0			0	0			0.03		0		0		-293		
20001005	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001006	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001007	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001009	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001011	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001012	1217	愛之味	0		5		4	0			5	0			0.04		0.04		0		41		
20001013	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001016	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001017	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001018	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001019	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001020	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001021	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001023	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001024	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001025	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001026	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001027	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001030	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001031	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001101	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001102	1217	愛之味	0		0		4	0			5	0			0.04		0.04		0		0		
20001103	1217	愛之味	0		0		4	0			5	0			0.04		0.05		0		0		
20001104	1217	愛之味	0		-5		4	0			0	0			0.04		0		0		-44		
20001106	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001107	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001108	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001109	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001110	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001113	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001114	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001115	1217	愛之味	0		0		4	0			0	0			0.04		0		0		0		
20001116	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001117	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001118	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001120	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001121	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001122	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001123	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001124	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001127	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001128	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001129	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001130	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001201	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001202	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001204	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001205	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001206	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001207	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001208	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001211	1217	愛之味	0		0		4	0			0	0			0.03		0		0		0		
20001212	1217	愛之味	0	0	0	0	4	0	0	0	0	0	4	0	0.03	0	0	0.03	0	0	0	0	206072654
20001213	1217	愛之味	0	0	0	0	4	0	0	0	0	0	4	0	0.03	0	0	0.03	0	0	0	0	205804365
20001214	1217	愛之味	-1	0	0	-1	3	0	0	0	0	0	3	0	0.03	0	0	0.03	-7	0	0	-7	205804370
