日期	流水編號	代號	名稱	發布日期時間	新聞標題	新聞內容	RTIME
20040708	WEB0139	1217	愛之味	2004/07/08  09:03:51	愛之味 6月營收3.82億元年增3.00%  1-6月達20.35億元	"愛之味(1217)6月營收(單位:千元)

項目            6月營收      1-6月營收
本年度          382,010      2,034,647
去年同期        369,805      2,027,809
增減金額         12,205          6,838
增減(％)           3.30           0.34
"	
20040806	WEB0725	1217	愛之味	2004/08/06  22:00:05	愛之味 7月營收3.78億元年減19.52%  1-7月達24.13億元	"愛之味(1217)7月營收(單位:千元)

項目            7月營收      1-7月營收
本年度          377,928      2,412,984
去年同期        469,574      2,497,383
增減金額        -91,646        -84,399
增減(％)         -19.52          -3.38
"	
20040817	WEB0432	1217	愛之味	2004/08/17  18:49:07	愛之味4/23-8/17取得不動產  交易金額780萬元	"愛之味(1217)：公告本公司取得不動產

1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
位於嘉義市姜文街81號房屋乙座

2.事實發生日:93/4/23~93/8/17

3.交易數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
土地:96平方公尺(約29.04坪)
建物:255.24平方公尺
交易總金額:7,800,000元

4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
和園投資(股)公司;其董事長與本公司相同

5.交易相對人為實質關係人者，並應公告選定關係人為交易對象之原因及
前次移轉之所有人（含與公司及相對人間相互之關係）、移轉價格及取
得日期:
選定為交易對象之原因:交通方便,且面積適當,價格合理
前次移轉所有人與公司及相對人間關係:無實質關係
移轉價格:11,000,000元;取得日期:85.05

6.交易標的最近五年內所有權人曾為公司之實質關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用

7.預計處分利益（或損失）（取得資產者不適用）（原遞延者應列表說明
認列情形）:
不適用

8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項（註一）:
付款條件:總價款一次付清
契約限制條款:無
其他重要約定事項:無

9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
董事會通過及監察人承認

10.專業估價機構名稱及其估價金額:
估價機構:歐鉅不動產鑑定顧問有限公司;
估價金額:6,529,450元

11.估價報告是否為限定價格或特定價格:否

12.是否尚未取得估價報告:否

13.尚未取得估價報告之原因:

14.與交易金額比較有重大差異原因及簽證會計師意見:
不適用

15.經紀人及經紀費用:
無

16.取得或處分之具體目的或用途:
作為員工宿舍之用

17.本次交易表示異議之董事之意見:
無

18.本次交易董事有異議:否
註一、其他重要約定事項應註明有無訂定附買(賣)回、解除契約或其他不
      確定、特殊約訂條款

"	
20040823	WEB0230	1217	愛之味	2004/08/23  14:42:36	愛之味H1財報稅後盈餘3873萬元年衰退62% EPS 0.11元	"食品類股的愛之味(1217)上半年財報出爐，稅後盈
餘3873萬元，較去年同期的1.03億元衰退 62%，每股稅
後盈餘0.11元。

    愛之味今年上半年呈現營收成長但獲利衰退的局面
，上半年營收 20.35億元，營業毛利7.41億元，營業淨
利1.14億元，稅前盈餘3187萬元，在所得稅利益挹注下
，稅後盈餘3873萬元，每股稅後盈餘0.11元。

"	
20040826	WEB0280	1217	愛之味	2004/08/26  12:56:25	災後食品股人氣旺 提前引爆中元行情 味全愛之味漲停	"艾利颱風狂掃台灣，民眾大量搶購民生必需品，泡
麵、罐頭等食品也隨之銷售一空，也因此帶動食品股走
揚，提前引爆中元節買氣。今(26)日味全(1201)盤中強
鎖漲停，站上月線﹔而愛之味(1217)早盤率先跳空漲停
鎖住，來到7.05元，一舉收復 5日線及月線。味王(1203)、
泰山(1218)也有不錯的表現，漲幅分別高達4.9%、4.3%。

    在罐頭、麵食等食品因颱風來襲而搶購一空，為食
品廠商挹注不少營收，加上中元節買氣將至，食品股利
多題材不斷，激勵食品類股盤中漲幅達 3.38%，其中又
以味全、愛之味走勢最為強勁，雙雙深鎖漲停大門。味
王則站上季線，盤中最高來到10.7元。泰山盤中最高
來到7.15元，站上月線，為反彈後最高價。

"	
20040901	WEB0562	1217	愛之味	2004/09/01  18:13:05	愛之味93年度上半年會計師出具非無保留意見之查核報告書	"愛之味(1217)：公告本公司93年度上半年會計師出具非
無保留意見之查核報告書

1.事實發生日:93/09/01

2.會計師查核意見全文:

愛之味股份有限公司民國93年6月30日及民國92年6月30
日之資產負債表，暨民國93年1月1日至6月30日及民國9
2年1月1日至6月30日之損益表、股東權益變動表及現金
流量表，業經本會計師查核竣事。上開財務報表之編製
係管理階層之責任，本會計師之責任則為根據查核結果
對上開財務報表表示意見。

除下段所述者外，本會計師係依照一般公認審計準則及
會計師查核簽證財務報表規則規劃並執行查核工作，以
合理確信財務報表有無重大不實表達。此項查核工作包
括以抽查方式獲取財務報表所列金額及所揭露事項之查
核證據、評估管理階層編製財務報表所採用之會計原則
及所作之重大會計估計，暨評估財務報表整體之表達。
本會計師相信此項查核工作可對所表示之意見提供合理
之依據。

如財務報表附註11.所述，愛之味股份有限公司民國93年
6月30日及民國92年6月30日採權益法評價之部分長期股
權投資1,642,974仟元及1,273,964仟元，暨民國93年1月
1日至6月30日及民國92年1月1日至6月30日相關之淨投資
利益3,151仟元及2,679仟元，係以該等被投資公司同期
間未經會計師查核之財務報表為依據。

依本會計師意見，除上段所述該等被投資公司財務報表
倘經會計師查核，對財務報表可能有所調整之影響外，
第一段所述財務報表在所有重大方面係依照一般公認會
計原則及證券發行人財務報告編製準則編製，足以允當
表達愛之味股份有限公司民國93年6月30日及民國92年6
月30日之財務狀況，暨民國93年1月1日至6月30日及民國
92年1月1日至6月30日之經營成果及現金流量。

3.其他應敘明事項:無

"	
20040907	WEB0683	1217	愛之味	2004/09/07  22:45:54	萊爾富攜手味全、黑松等6大廠商聯合推出促銷活動	"為抓牢中秋檔期龐大商機與延續強滾滾的買氣，萊
爾富便利商店(299940)折扣再下猛藥，特將促銷廣度拉
大，舉辦史無前例、跨廠牌、跨品類的味全(1201)、黑
松(1234)、泰山(1218)、愛之味(1217)、久暢、源興等
六大廠商聯合促銷活動案，品類範圍擴及乳品飲料、果
汁汽水、茶品咖啡、粥品點心、以及醬菜油品類等共111
項商品，以重新定位成「小量販」的概念出發，將可有
效搶進超市與量販店商機，預計此波聯合促銷活動將可
帶來約1000萬元的營業額。                     
                                                 
    萊爾富表示，夏天是便利商店的經營旺季，過去， 
業界主要針對單品牌旗下系列展開促銷活動，由萊爾富 
便利商店率先展開第二件6折的活動，而今年這股第2件 
折扣風潮，更從飲料再延伸到月餅市場，一舉拉抬市場 
業績。                                           
                                                 
    萊爾富分析，「第二件6折」開跑販售以來，透過  
價差上的魅力，平均有七成的消費者當下決定多買一件 
，使得客單價約提高 2元。對通路來說，為擴大整體市  
場，善用「小量販」的促銷概念活動，企圖改變消費行 
為的方式，也可順利增加客單價，此外，透過增加購買 
第二件商品折扣的操作模式，不但能帶動銷售量成長， 
加速商品回轉，對於品牌形象的提升也有正面的效益。

"	
20040907	WEB0567	1217	愛之味	2004/09/07  18:33:08	愛之味 8月營收6.16億元年增7.00%  1-8月達30.29億元	"愛之味(1217)8月營收(單位:千元)

項目            8月營收      1-8月營收
本年度          616,485      3,029,467
去年同期        574,559      3,071,942
增減金額         41,926        -42,475
增減(％)           7.30          -1.38
"	
20041007	WEB0456	1217	愛之味	2004/10/07  15:00:45	愛之味 9月營收3.97億元年增23.00%  1-9月達34.27億元	"愛之味(1217)9月營收(單位:千元)

項目            9月營收      1-9月營收
本年度          397,356      3,426,823
去年同期        322,588      3,394,530
增減金額         74,768         32,293
增減(％)          23.18           0.95
"	
20041027	WEB0523	1217	愛之味	2004/10/27  20:19:07	「愛之味」海外第一次可轉債自2004.11.11起申請轉換為普通股	"愛之味股份有限公司（公司代號：1217）海外第一
次可轉換公司債開始轉換為普通股股票日期等相關事項
。

一、右開公司於九十三年十一月十一日起，開始接受申
    請轉換為該公司普通股股票。

二、右開公司事務代理機構金鼎綜合證券股份有限公司
    於「轉換申請書」送達後五個營業日內交付轉換之
    普通股股票，並自交付之日起與該公司原有普通股
    股票合併上市買賣。

"	
