日期	股票代號	股票名稱	開盤價	最高價	最低價	收盤價	漲跌	漲幅(%)	振幅(%)	成交量	成交筆數	成交金額(千)	均張	成交量變動(%)	均張變動(%)	股本(百萬)	總市值(億)	市值比重(%)	本益比	股價淨值比	本益比(近四季)	週轉率(%)	成交值比重(%)	漲跌停	均價	成交量(股)	RTIME
20000104	2317	鴻海	240	250	237	248	14	5.98	5.56	11609	4180	2859370	2.8	71.02	21.74	11000	2728	2.096	36.8	7.55	40.3	1.05	1.252	0	246.31	11609000	123456
20000105	2317	鴻海	245	254	243	248	0	0	4.44	9077	3857	2254108	2.4	-21.81	-14.29	11000	2728	2.075	36.8	7.55	40.3	0.83	0.895	0	248.32	9077528	123456
20000106	2317	鴻海	249	254	242	248	0	0	4.84	10848	4048	2705029	2.7	19.51	12.5	11000	2728	2.058	36.8	7.55	40.3	0.99	1.011	0	249.35	10848121	123456
20000107	2317	鴻海	240	245	236	238	-10	-4.03	3.63	7305	2909	1748150	2.5	-32.66	-7.41	11000	2618	1.992	35.3	7.24	38.7	0.67	0.787	0	239.3	7305402	123456
20000110	2317	鴻海	240	247	236	243	5	2.1	4.62	8203	3705	1991432	2.2	12.29	-12	11000	2673	1.976	36.1	7.39	39.5	0.75	0.816	0	242.76	8203361	123456
20000111	2317	鴻海	258	258	241	241	-2	-0.82	7	13077	5850	3273172	2.2	59.42	0	11000	2651	1.998	35.8	7.33	39.2	1.23	1.005	0	250.29	13077319	123456
20000112	2317	鴻海	244	255	240	255	14	5.81	6.22	12145	5108	3027856	2.4	-7.13	9.09	11000	2805	2.068	37.8	7.76	41.5	1.08	1.277	0	249.29	12145679	123456
20000113	2317	鴻海	259	264	253	255	0	0	4.31	20729	9106	5380729	2.3	70.68	-4.17	11000	2805	2.071	37.8	7.76	41.5	1.92	2.081	0	259.57	20729243	123456
20000114	2317	鴻海	258	260	245	245	-10	-3.92	5.88	8729	3918	2195725	2.2	-57.89	-4.35	11000	2695	2.008	36.4	7.46	39.8	0.81	1.066	0	251.52	8729955	123456
20000115	2317	鴻海	246	253	246	251	6	2.45	2.86	6523	2971	1629939	2.2	-25.27	0	11000	2761	2.02	37.2	7.64	40.8	0.59	0.889	0	249.86	6523402	123456
20000117	2317	鴻海	253	259	251	254	3	1.2	3.19	7277	3296	1863443	2.2	11.56	0	11000	2794	2.015	37.7	7.73	41.3	0.67	0.932	0	256.07	7277000	123456
20000118	2317	鴻海	256	257	251	253	-1	-0.39	2.36	4140	2056	1048937	2	-43.11	-9.09	11000	2783	2.02	37.5	7.7	41.1	0.38	0.607	0	253.35	4140266	123456
20000119	2317	鴻海	253	254	246	247	-6	-2.37	3.16	4594	2107	1147423	2.2	10.97	10	11000	2717	1.992	36.6	7.52	40.2	0.42	0.701	0	249.76	4594169	123456
20000120	2317	鴻海	250	250	244	249	2	0.81	2.43	3031	1455	750145	2.1	-34.02	-4.55	11000	2739	2.01	36.9	7.58	40.5	0.27	0.545	0	247.45	3031536	123456
20000121	2317	鴻海	249	253	248	248	-1	-0.4	2.01	5453	2165	1367610	2.5	79.91	19.05	11000	2728	1.975	36.8	7.55	40.3	0.5	0.74	0	250.78	5453533	123456
20000124	2317	鴻海	253	253	245	245	-3	-1.21	3.23	3669	1675	908688	2.2	-32.72	-12	11000	2695	1.923	36.4	7.46	39.8	0.34	0.464	0	247.62	3669674	123456
20000125	2317	鴻海	245	248	243	243	-2	-0.82	2.04	2632	1449	644359	1.8	-28.26	-18.18	11000	2673	1.909	36.1	7.39	39.5	0.24	0.392	0	244.78	2632371	123456
20000126	2317	鴻海	243	248	242	244	1	0.41	2.47	5448	2187	1335133	2.5	106.99	38.89	11000	2684	1.874	36.2	7.42	39.7	0.5	0.606	0	245.02	5448972	123456
20000127	2317	鴻海	248	248	243	243	-1	-0.41	2.05	2809	1407	687436	2	-48.44	-20	11000	2673	1.859	36.1	7.39	39.5	0.26	0.336	0	244.64	2809943	123456
20000128	2317	鴻海	243	250	243	246	3	1.23	2.88	5412	2299	1337935	2.4	92.67	20	11000	2706	1.871	36.5	7.49	40	0.49	0.651	0	247.17	5412978	123456
20000129	2317	鴻海	246	249	245	249	3	1.22	1.63	2392	1386	592505	1.7	-55.8	-29.17	11000	2739	1.904	36.9	7.58	40.5	0.22	0.406	0	247.69	2392109	123456
