日期	股票代號	股票名稱	外資買賣超	投信買賣超	自營商買賣超	買賣超合計	外資持股(張)	外資持股比率(%)	投信持股(張)	投信持股比率(%)	自營商持股(張)	自營商持股比率(%)	法人持股合計	法人持股比率(%)	外資持股市值(百萬)	投信持股市值(百萬)	自營商持股市值(百萬)	法人持股市值(百萬)	外資買賣超金額(千)	投信買賣超金額(千)	自營商買賣超金額(千)	法人買賣超金額(千)	RTIME
20001002	2317	鴻海	-2254		78		294782	20.29			3582	0.25			52766.15		641.18		-414758		14353		
20001003	2317	鴻海	-6274		2		288508	19.86			3584	0.25			48180.98		598.53		-1069171		550		
20001004	2317	鴻海	311		0		288819	19.88			3584	0.25			46788.69		580.61		50343		0		
20001005	2317	鴻海	-2056		105		286762	19.74			3689	0.25			45308.45		582.86		-323444		16432		
20001006	2317	鴻海	-659		77		286103	19.69			3766	0.26			48351.46		636.45		-108948		11977		
20001007	2317	鴻海	1258		-137		287360	19.78			3629	0.25			50862.85		642.33		220077		-23926		
20001009	2317	鴻海	2873		-20		290230	19.98			3609	0.25			50209.92		624.36		504441		-3480		
20001011	2317	鴻海	908		-107		291185	20.04			3502	0.24			50375.15		605.85		155456		-17914		
20001012	2317	鴻海	2188		28		293372	20.19			3530	0.24			51046.88		614.22		381620		4920		
20001013	2317	鴻海	-299		197		293073	20.17			3727	0.26			50994.79		648.5		-50860		32368		
20001016	2317	鴻海	837		-118		293911	20.23			3609	0.25			49377.1		606.31		148776		-19801		
20001017	2317	鴻海	-307		-146		293628	20.21			3463	0.24			49329.64		581.78		-51826		-24522		
20001018	2317	鴻海	-34		-72		293526	20.2			3391	0.23			46083.65		532.39		-5439		-11439		
20001019	2317	鴻海	2305		6		295830	20.36			3397	0.23			43339.23		497.66		337632		872		
20001020	2317	鴻海	1352		0		297182	20.45			3397	0.23			46360.54		529.93		210885		0		
20001021	2317	鴻海	294		-43		297476	20.47			3354	0.23			49381.17		556.76		48784		-7138		
