日期	股票代號	股票名稱	開盤價	最高價	最低價	收盤價	漲跌	漲幅(%)	振幅(%)	成交量	成交筆數	成交金額(千)	均張	成交量變動(%)	均張變動(%)	股本(百萬)	總市值(億)	市值比重(%)	本益比	股價淨值比	本益比(近四季)	週轉率(%)	成交值比重(%)	漲跌停	均價	成交量(股)	RTIME
20000104	2330	台積電	178	178	175	178	11	6.59	1.8	35125	10232	6248459	3.4	-15.47	9.68	76709	13654.2	10.491	55.6	10.47	72.7	0.46	2.737	1	177.89	35125000	123456
20000105	2330	台積電	178	182	176	182	4	2.25	3.37	70449	20298	12635716	3.5	100.57	2.94	76709	13961	10.621	56.9	10.7	74.3	0.91	5.014	0	179.36	70449937	123456
20000106	2330	台積電	181	182	178	178	-4	-2.2	2.2	34579	10963	6197016	3.2	-50.92	-8.57	76709	13654.2	10.301	55.6	10.47	72.7	0.45	2.316	0	179.21	34579454	123456
20000107	2330	台積電	172	175	170	173	-5	-2.81	2.81	41182	14454	7102142	2.8	19.1	-12.5	76709	13270.7	10.098	54.1	10.17	70.6	0.54	3.198	0	172.45	41182975	123456
20000110	2330	台積電	178	180	175	179	6	3.47	2.89	48342	15336	8595890	3.2	17.39	14.29	76709	13730.9	10.153	55.9	10.52	73.1	0.63	3.522	0	177.81	48342563	123456
20000111	2330	台積電	181	183	175	176	-3	-1.68	4.47	48622	13493	8716359	3.6	0.58	12.5	76709	13500.8	10.174	55	10.35	71.8	0.65	2.677	0	179.27	48622260	123456
20000112	2330	台積電	177	181	176	181	5	2.84	2.84	37852	11553	6782349	3.3	-22.15	-8.33	76709	13884.3	10.237	56.6	10.64	73.9	0.49	2.86	0	179.18	37852991	123456
20000113	2330	台積電	181	181	178	178	-3	-1.66	1.66	25817	7905	4625945	3.3	-31.79	0	76709	13654.2	10.082	55.6	10.47	72.7	0.34	1.789	0	179.18	25817607	123456
20000114	2330	台積電	180	185	179	182	4	2.25	3.37	50468	15290	9176538	3.3	95.48	0	76709	13961	10.4	56.9	10.7	74.3	0.66	4.457	0	181.83	50468880	123456
20000115	2330	台積電	188	189	186	188	6	3.3	1.65	47479	15313	8895779	3.1	-5.92	-6.06	76709	14421.3	10.552	58.8	11.05	76.7	0.62	4.854	0	187.36	47479351	123456
20000117	2330	台積電	190	190	187	187	-1	-0.53	1.6	27177	8422	5120726	3.2	-42.76	3.23	76709	14344.6	10.344	58.4	10.99	76.3	0.36	2.562	0	188.42	27177000	123456
20000118	2330	台積電	187	187	183	184	-3	-1.6	2.14	23044	8446	4258174	2.7	-15.21	-15.63	76709	14114.5	10.244	57.5	10.82	75.1	0.3	2.464	0	184.78	23044370	123456
20000119	2330	台積電	184	187	183	184	0	0	2.17	23604	6565	4361594	3.6	2.43	33.33	76709	14114.5	10.349	57.5	10.82	75.1	0.31	2.664	0	184.78	23604632	123456
20000120	2330	台積電	184	184	181	182	-2	-1.09	1.63	22013	6553	4017797	3.4	-6.74	-5.56	76709	13961	10.247	56.9	10.7	74.3	0.29	2.921	0	182.52	22013379	123456
20000121	2330	台積電	182	186	182	186	4	2.2	2.2	19849	5831	3667488	3.4	-9.83	0	76709	14267.9	10.332	58.1	10.94	75.9	0.26	1.985	0	184.76	19849691	123456
20000124	2330	台積電	188	191	187	188	2	1.08	2.15	30652	9263	5801914	3.3	54.43	-2.94	76709	14421.3	10.289	58.8	11.05	76.7	0.4	2.966	0	189.28	30652737	123456
20000125	2330	台積電	193	193	190	193	5	2.66	1.6	39156	12534	7519700	3.1	27.74	-6.06	76709	14804.8	10.571	60.3	11.35	78.8	0.51	4.577	0	192.04	39156262	123456
20000126	2330	台積電	199	206	199	206	13	6.74	3.63	62645	17205	12848672	3.6	59.99	16.13	76709	15802.1	11.036	64.4	12.11	84.1	0.81	5.833	1	205.1	62645393	123456
