日期	股票代號	股票名稱	外資買賣超	投信買賣超	自營商買賣超	買賣超合計	外資持股(張)	外資持股比率(%)	投信持股(張)	投信持股比率(%)	自營商持股(張)	自營商持股比率(%)	法人持股合計	法人持股比率(%)	外資持股市值(百萬)	投信持股市值(百萬)	自營商持股市值(百萬)	法人持股市值(百萬)	外資買賣超金額(千)	投信買賣超金額(千)	自營商買賣超金額(千)	法人買賣超金額(千)	RTIME
20001002	2330	台積電	-6923		484		2273611	19.45			8084	0.07			223950.69		796.27		-694862		48579		
20001003	2330	台積電	-41		816		2273564	19.45			8900	0.08			234177.13		916.7		-4216		84183		
20001004	2330	台積電	10613		-300		2284177	19.54			8600	0.07			227275.62		855.7		1056069		-29850		
20001005	2330	台積電	2855		497		2287032	19.57			9097	0.08			235564.31		936.99		289582		49779		
20001006	2330	台積電	9329		2276		2296360	19.64			11373	0.1			252599.7		1251.03		1009749		246590		
20001007	2330	台積電	1278		1087		2297788	19.66			12460	0.11			255054.57		1383.06		140721		119860		
20001009	2330	台積電	3724		-475		2301474	19.69			11985	0.1			247408.55		1288.39		404985		-51700		
20001011	2330	台積電	-230		0		2301231	19.69			11985	0.1			239328.04		1246.44		-24004		0		
20001012	2330	台積電	-13054		-3905		2288176	19.57			8080	0.07			221953.1		783.76		-1274802		-382863		
20001013	2330	台積電	-3442		-869		2284731	19.55			7211	0.06			220476.61		695.86		-319717		-78240		
20001016	2330	台積電	17183		-1335		2301914	19.69			5876	0.05			210625.14		537.65		1675278		-123703		
20001017	2330	台積電	-5622		-234		2296291	19.64			5642	0.05			215851.39		530.35		-521950		-21727		
20001018	2330	台積電	2891		-1083		2299251	19.67			4559	0.04			201184.53		398.91		263686		-97634		
20001019	2330	台積電	3094		24		2302355	19.7			4583	0.04			187641.98		373.51		254097		2471		
20001020	2330	台積電	2855		0		2305182	19.72			4583	0.04			200550.87		398.72		248314		0		
20001021	2330	台積電	5714		200		2310896	19.77			4783	0.04			214913.37		444.82		531116		18574		
20001023	2330	台積電	51746		817		2362634	20.21			5600	0.05			235082.13		557.2		5127511		80418		
20001024	2330	台積電	16225		1679		2378858	20.35			7279	0.06			252159.04		771.57		1689777		175457		
20001025	2330	台積電	5625		1053		2384483	20.4			8332	0.07			256332.02		895.69		602100		112061		
20001026	2330	台積電	803		-1425		2385220	20.4			6907	0.06			251640.77		728.69		84372		-148958		
20001027	2330	台積電	5531		20		2390750	20.45			6927	0.06			243856.58		706.55		585870		4457		
20001030	2330	台積電	10238		-150		2400945	20.54			6777	0.06			236493.16		667.53		1008545		-14775		
20001031	2330	台積電	10161		-2171		2411214	20.63			4606	0.04			236299.05		451.39		985211		-209444		
20001101	2330	台積電	12039		-199		2423164	20.73			4407	0.04			235047		427.48		1182512		-17840		
20001102	2330	台積電	9862		1223		2433026	20.81			5630	0.05			251818.27		582.7		1001861		125482		
20001103	2330	台積電	26768		2969		2459874	21.04			8599	0.07			269356.28		941.59		2903779		323259		
20001104	2330	台積電	1392		-255		2461266	21.06			8344	0.07			260894.24		884.46		150111		-27226		
20001106	2330	台積電	38309		-1262		2499571	21.38			7082	0.06			272453.28		771.94		4157292		-133067		
20001107	2330	台積電	28674		2386		2528217	21.63			9468	0.08			294537.38		1103.02		3322109		276431		
20001108	2330	台積電	15266		2894		2543482	21.76			12362	0.11			297587.5		1446.35		1822496		353021		
20001109	2330	台積電	-12479		-132		2531002	21.65			12230	0.1			291065.31		1406.45		-1426382		-15126		
20001110	2330	台積電	-11922		-60		2519080	21.55			12170	0.1			287175.12		1387.38		-1335575		-7176		
20001113	2330	台積電	-7374		-1696		2511705	21.49			10474	0.09			267496.6		1115.48		-787041		-181543		
20001114	2330	台積電	-2136		-1087		2509598	21.47			9387	0.08			267272.21		999.72		-228680		-115929		
20001115	2330	台積電	-4573		-2001		2505025	21.43			7386	0.06			268037.68		790.3		-493486		-212522		
20001116	2330	台積電	-9338		-3285		2495686	21.35			4101	0.04			249568.61		410.1		-947065		-332802		
20001117	2330	台積電	-5366		-484		2490319	21.3			3617	0.03			245296.52		356.27		-514717		-45978		
20001118	2330	台積電	-2896		-420		2487424	21.28			3197	0.03			233817.88		300.52		-275254		-39638		
20001120	2330	台積電	-1772		-1010		2485652	21.26			2187	0.02			218737.4		192.46		-157460		-89990		
20001121	2330	台積電	-9041		600		2476659	21.19			2787	0.02			232805.99		261.98		-821176		55950		
20001122	2330	台積電	-19833		169		2456826	21.02			2956	0.03			223571.17		269		-1867715		17789		
20001123	2330	台積電	-3822		-450		2453008	20.98			2506	0.02			218317.75		223.03		-338989		-39935		
20001124	2330	台積電	10348		770		2463344	21.07			3276	0.03			234017.75		311.22		966547		72648		
20001127	2330	台積電	2606		-40		2465950	21.1			3236	0.03			233032.33		305.8		250420		-3890		
20001128	2330	台積電	3577		-107		2469528	21.13			3129	0.03			228431.42		289.43		332446		-9896		
20001129	2330	台積電	-4210		-650		2465318	21.09			2479	0.02			223111.34		224.35		-381494		-58825		
20001130	2330	台積電	-3496		-360		2461832	21.06			2119	0.02			220334		189.65		-316584		-32370		
20001201	2330	台積電	-4712		-66		2457120	21.02			2053	0.02			224826.56		187.85		-418381		-5789		
20001202	2330	台積電	265		361		2457385	21.02			2414	0.02			221164.73		217.26		23951		32703		
20001204	2330	台積電	-2815		43		2454629	21			2457	0.02			216007.43		216.22		-248255		3784		
20001205	2330	台積電	-2631		92		2451998	20.98			2549	0.02			217001.85		225.59		-232208		8162		
20001206	2330	台積電	10995		66		2462993	21.07			2615	0.02			219206.38		232.74		1007780		5946		
20001207	2330	台積電	2404		92		2465456	21.09			2707	0.02			224356.58		246.34		215819		8259		
20001208	2330	台積電	-848		-9		2464608	21.08			2698	0.02			221814.77		242.82		-76715		-814		
20001211	2330	台積電	12074		48		2476681	21.19			2746	0.02			222901.35		247.14		1090806		4337		
20001212	2330	台積電	19029	1189	214	20432	2495744	21.35	59141	0.51	2960	0.03	2557845	21.89	230856.4	5470.54	273.8	236600.74	1761246	110054	19808	1891108	206072654
