年月	股票代號	股票名稱	單月合併營收(千)	去年單月合併營收(千)	單月合併營收年成長(%)	單月合併營收月變動(%)	累計合併營收(千)	去年累計合併營收(千)	累計合併營收成長(%)	近三月合併營收(千)	近三月合併營收年成長(%)	近三月合併營收月變動(%)	近12月累計合併營收(千)	近12月營收合併成長(%)	預估年營收(千)	累計營收達成率(%)	單月營收(千)	去年單月營收(千)	單月營收年成長(%)	單月營收月變動(%)	累計營收(千)	去年累計營收(千)	累計營收成長(%)	近三月營收(千)	近三月營收年成長(%)	近三月營收月變動(%)	近12月累計營收(千)	近12月營收成長(%)	淨值(千)	資金貸放餘額(千)	資金貸放佔淨值比(%)	背書保證單月金額(千)	背書保證累計餘額(千)	背書保証累計餘額佔淨值比(%)	重要子公司本月營業收入淨額(千)	重要子公司本年累計營收淨額(千)	公告日	RTIME
200001	2454	聯發科															914479			31.25	914479			2323674		33.87			3300736								20000210	
200002	2454	聯發科															763779			-16.48	1678258			2374991		25.31			3300736								20000310	
200003	2454	聯發科															895331			17.22	2573589			2573589		28.05			3914649								20000410	
200004	2454	聯發科															879893			-1.72	3453482			2539003		9.27			3914649								20000510	
200005	2454	聯發科															1069545			21.55	4523027			2844769		19.78			3914649								20000610	
200006	2454	聯發科															1046336			-2.17	5569363			2995774		16.4	9325751		4696811								20000710	
200007	2454	聯發科															1207571	611409	97.51	15.41	6776934			3323452		30.9	9921913		4696811								20000810	
200008	2454	聯發科															1208561	552888	118.59	0.08	7985495			3462468		21.71	10577586		4696811								20000910	
200009	2454	聯發科															1483057	582315	154.68	22.71	9468552			3899189	123.24	30.16	11478328		5968030								20001010	
200010	2454	聯發科															1415563	600581	135.7	-4.55	10884115			4107181	136.62	23.58	12293310		5968030								20001110	
200011	2454	聯發科															1236250	712462	73.52	-12.67	12120365			4134870	118.16	19.42	12817098		5968030								20001210	
200012	2454	聯發科					12861702										741338	696733	6.4	-40.03	12861703			3393151	68.83	-12.98	12861703		6613726								20010110	
200101	2454	聯發科															684275	914479	-25.17	-7.7	684275	914479	-25.17	2661863	14.55	-35.19	12631499		6613726								20010210	
200102	2454	聯發科													16003072	8.35	651288	763779	-14.73	-4.82	1335563	1678258	-20.42	2076901	-12.55	-49.77	12519008		6613726								20010310	
200103	2454	聯發科													16003072	14.1	920429	895331	2.8	41.32	2255992	2573589	-12.34	2255992	-12.34	-33.51	12544106		7359798								20010410	
200104	2454	聯發科													16003072	20.22	979936	879893	11.37	6.47	3235928	3453482	-6.3	2551653	0.5	-4.14	12644149		7359798								20010510	
200105	2454	聯發科													16003072	26.47	1000689	1069545	-6.44	2.12	4236617	4523027	-6.33	2901054	1.98	39.68	12575293		7359798								20010610	
200106	2454	聯發科													16003072	32.74	1002651	1046336	-4.18	0.2	5239268	5569363	-5.93	2983276	-0.42	32.24	12531608	34.38	8451724								20010710	
200107	2454	聯發科													16003072	39.15	1025363	1207571	-15.09	2.27	6264631	6776934	-7.56	3028703	-8.87	18.7	12349400	24.47	8451724								20010810	
200108	2454	聯發科													16003072	47.97	1412116	1208561	16.84	37.72	7676747	7985495	-3.87	3440130	-0.65	18.58	12552955	18.68	8451724								20010910	
200109	2454	聯發科													16003072	58.4	1669035	1483057	12.54	18.19	9345782	9468552	-1.3	4106514	5.32	37.65	12738933	10.98	10341013								20011010	
200110	2454	聯發科													16003072	70.24	1894855	1415563	33.86	13.53	11240637	10884115	3.28	4976006	21.15	64.29	13218225	7.52	10341013								20011110	
200111	2454	聯發科													16003072	83.09	2055615	1236250	66.28	8.48	13296252	12120365	9.7	5619505	35.91	63.35	14037590	9.52	10341013								20011210	
200112	2454	聯發科					15375350	12861702	19.54					19.54	15200000	101.15	2079098	741338	180.45	1.14	15375350	12861703	19.54	6029568	77.7	46.83	15375350	19.54	13165083								20020110	
200201	2454	聯發科															2352605	684275	243.81	13.16	2352605	684275	243.81	6487318	143.71	30.37	17043680	34.93	13165083								20020210	
200202	2454	聯發科															2093025	651288	221.37	-11.03	4445630	1335563	232.87	6524728	214.16	16.11	18485417	47.66	13165083								20020310	
