日期	股票代號	股票名稱	開盤價	最高價	最低價	收盤價	漲跌	漲幅(%)	振幅(%)	成交量	成交筆數	成交金額(千)	均張	成交量變動(%)	均張變動(%)	股本(百萬)	總市值(億)	市值比重(%)	本益比	股價淨值比	本益比(近四季)	週轉率(%)	成交值比重(%)	漲跌停	均價	成交量(股)	RTIME
20010723	2454	聯發科	297	297	297	297	0	0	0	113	113	33561	1			2169	644.2	0.844	16	6.23	18.6	0.05	0.107	0	297	113000	123456
20010724	2454	聯發科	314	317	308	316	19	6.4	3.03	14468	8618	4544217	1.7	12703.54	70	2169	685.4	0.923	17.1	6.63	19.8	6.63	12.306	0	314.07	14468937	123456
20010725	2454	聯發科	316	338	316	338	22	6.96	6.96	5706	2558	1885976	2.2	-60.56	29.41	2169	733.1	0.965	18.3	7.09	21.2	2.57	4.146	1	330.51	5706246	123456
20010726	2454	聯發科	350	361	347	361	23	6.8	4.14	3902	1992	1393646	2	-31.62	-9.09	2169	783	0.988	19.5	7.57	22.6	1.78	2.234	1	357.16	3902035	123456
20010727	2454	聯發科	370	376	358	360	-1	-0.28	4.99	3680	2360	1355697	1.6	-5.69	-20	2169	780.8	0.983	19.4	7.55	22.6	1.74	1.806	0	368.38	3680150	123456
20010731	2454	聯發科	360	385	358	385	25	6.94	7.5	4769	2353	1795684	2	29.59	25	2169	835.1	1.046	20.8	8.08	24.1	2.15	3.705	1	376.49	4769583	123456
20010801	2454	聯發科	388	389	365	369	-16	-4.16	6.23	3759	2220	1415689	1.7	-21.18	-15	2169	800.4	1.004	19.9	7.74	23.1	1.77	2.909	0	376.59	3759229	123456
20010802	2454	聯發科	368	382	368	380	11	2.98	3.79	3737	1845	1407276	2	-0.59	17.65	2169	824.2	1.004	20.5	7.97	23.8	1.71	2.209	0	376.52	3737580	123456
20010803	2454	聯發科	384	393	380	387	7	1.84	3.42	3221	1654	1252884	1.9	-13.81	-5	2169	839.4	1.011	20.9	8.12	24.3	1.49	1.741	0	388.86	3221922	123456
20010806	2454	聯發科	383	399	380	399	12	3.1	4.91	2964	1481	1164618	2	-7.98	5.26	2169	865.4	1.058	21.5	8.37	25	1.35	2.836	0	392.9	2964120	123456
20010807	2454	聯發科	396	400	387	392	-7	-1.75	3.26	2390	1249	939446	1.9	-19.37	-5	2169	850.2	1.055	21.2	8.22	24.6	1.1	2.609	0	393.06	2390106	123456
20010808	2454	聯發科	392	399	387	399	7	1.79	3.06	2177	1169	856739	1.9	-8.91	0	2169	865.4	1.047	21.5	8.37	25	0.99	1.531	0	393.45	2177486	123456
20010809	2454	聯發科	397	405	392	393	-6	-1.5	3.26	1954	1073	777327	1.8	-10.24	-5.26	2169	852.4	1.046	21.2	8.24	24.6	0.91	1.479	0	397.75	1954312	123456
