日期	股票代號	股票名稱	外資買賣超	投信買賣超	自營商買賣超	買賣超合計	外資持股(張)	外資持股比率(%)	投信持股(張)	投信持股比率(%)	自營商持股(張)	自營商持股比率(%)	法人持股合計	法人持股比率(%)	外資持股市值(百萬)	投信持股市值(百萬)	自營商持股市值(百萬)	法人持股市值(百萬)	外資買賣超金額(千)	投信買賣超金額(千)	自營商買賣超金額(千)	法人買賣超金額(千)	RTIME
20010723	2454	聯發科	0	40	0	40	0	0	40	0.02	0	0	40	0.02	0	11.88	0	11.88	0	11880	0	11880	205805065
20010724	2454	聯發科	996	5020	527	6543	0	0	5060	2.33	527	0.24	5587	2.57	0	1598.96	166.53	1765.49	312813	1576631	165515	2054959	206374218
20010725	2454	聯發科	566	2173	124	2863	0	0	7233	3.33	651	0.3	7884	3.63	0	2444.75	220.04	2664.79	187069	718198	40983	946250	206374221
20010726	2454	聯發科	30	419	-34	415	0	0	7652	3.53	617	0.28	8269	3.81	0	2762.37	222.74	2985.11	10714	149650	-12143	148221	206374225
20010727	2454	聯發科	839	14	33	886	0	0	7666	3.53	650	0.3	8316	3.83	0	2759.76	234	2993.76	309071	5158	12156	326385	206374229
20010731	2454	聯發科	720	577	108	1405	0	0	8243	3.8	758	0.35	9001	4.15	0	3173.56	291.83	3465.39	271073	217235	40661	528969	206374241
20010801	2454	聯發科	169	353	-10	512	0	0	8596	3.96	748	0.34	9344	4.3	0	3171.92	276.01	3447.93	63643	132937	-3766	192814	206374243
20010802	2454	聯發科	607	103	-10	700	0	0	8699	4.01	738	0.34	9437	4.35	0	3305.62	280.44	3586.06	228547	38782	-3765	263564	206374246
20010803	2454	聯發科	57	-110	-125	-178	0	0	8589	3.96	613	0.28	9202	4.24	0	3323.94	237.23	3561.17	22165	-42775	-48608	-69218	206374249
20010806	2454	聯發科	6	322	-67	261	0	0	8911	4.11	546	0.25	9457	4.36	0	3555.49	217.85	3773.34	2357	126513	-26325	102545	206374257
20010807	2454	聯發科	3	103	18	124	0	0	9014	4.16	564	0.26	9578	4.42	0	3533.49	221.09	3754.58	1179	40485	7075	48739	206374261
20010808	2454	聯發科	43	35	17	95	0	0	9049	4.17	581	0.27	9630	4.44	0	3610.55	231.82	3842.37	16918	13771	6688	37377	206374264
20010809	2454	聯發科	-340	123	-59	-276	0	0	9172	4.23	522	0.24	9694	4.47	0	3604.6	205.15	3809.75	-135235	48923	-23468	-109780	206374267
20010810	2454	聯發科	163	110	-1	272	0	0	9282	4.28	521	0.24	9803	4.52	0	3610.7	202.67	3813.37	63506	42857	-390	105973	206374271
20010813	2454	聯發科	43	154	-117	80	0	0	9436	4.35	404	0.19	9840	4.54	0	3642.3	155.94	3798.24	16810	60206	-45741	31275	206374280
20010814	2454	聯發科	0	264	51	315	0	0	9700	4.47	455	0.21	10155	4.68	0	3802.4	178.36	3980.76	0	101004	19512	120516	206374284
